,duration,protocolType,srcBytes,dstBytes,srvCount,dst_host_same_src_port_rate
0,0,tcp,491,0,2,0.17
1,0,udp,146,0,1,0.88
2,0,tcp,0,0,6,0.0
3,0,tcp,232,8153,5,0.03
4,0,tcp,199,420,32,0.0
5,0,tcp,0,0,19,0.0
6,0,tcp,0,0,9,0.0
7,0,tcp,0,0,16,0.0
8,0,tcp,0,0,23,0.0
9,0,tcp,0,0,8,0.0
10,0,tcp,0,0,12,0.0
11,0,tcp,0,0,3,0.0
12,0,tcp,287,2251,7,0.12
13,0,tcp,334,0,2,1.0
14,0,tcp,0,0,1,0.0
15,0,tcp,0,0,16,0.0
16,0,tcp,300,13788,9,0.01
17,0,icmp,18,0,1,1.0
18,0,tcp,233,616,3,0.02
19,0,tcp,343,1178,10,0.01
20,0,tcp,0,0,23,0.0
21,0,tcp,0,0,17,0.0
22,0,tcp,253,11905,10,0.01
23,5607,udp,147,105,1,1.0
24,0,tcp,0,0,2,0.0
25,507,tcp,437,14421,1,0.0
26,0,tcp,0,0,7,0.0
27,0,tcp,227,6588,22,0.02
28,0,tcp,215,10499,14,0.0
29,0,tcp,241,1400,33,0.0
30,0,icmp,8,0,12,1.0
31,0,tcp,0,0,16,0.01
32,0,tcp,303,555,9,0.11
33,0,tcp,0,0,1,0.28
34,0,udp,45,45,181,0.0
35,1,udp,105,147,2,0.05
36,0,udp,43,43,202,0.01
37,0,tcp,0,0,17,0.0
38,0,tcp,324,2302,28,0.0
39,0,tcp,0,0,13,0.0
40,0,tcp,0,0,11,0.01
41,0,tcp,0,0,12,0.0
42,2,tcp,1591,372,2,0.01
43,9052,udp,146,105,2,0.99
44,0,tcp,290,3006,11,0.0
45,0,tcp,0,0,11,0.0
46,0,udp,28,0,80,0.31
47,0,tcp,255,861,44,0.0
48,0,tcp,334,0,2,1.0
49,0,tcp,0,0,17,0.0
50,0,tcp,302,498,10,0.01
51,0,tcp,0,0,4,0.0
52,0,udp,28,0,2,0.01
53,0,tcp,220,1398,42,0.04
54,0,udp,43,69,120,0.01
55,0,udp,44,133,75,0.88
56,0,icmp,8,0,15,1.0
57,0,tcp,0,0,9,0.0
58,0,tcp,0,0,12,0.0
59,0,udp,43,43,228,0.01
60,0,tcp,641,0,2,0.25
61,0,tcp,0,0,4,0.0
62,0,tcp,0,0,1,0.0
63,0,tcp,310,2794,4,0.0
64,0,tcp,0,0,10,0.0
65,0,tcp,696,333,1,0.01
66,0,tcp,0,0,1,0.58
67,0,tcp,0,0,19,0.0
68,0,tcp,0,0,7,0.0
69,0,tcp,0,0,21,0.0
70,0,tcp,221,2878,1,0.05
71,0,tcp,0,0,16,0.0
72,0,icmp,181,0,2,0.46
73,0,udp,42,42,14,0.01
74,0,tcp,0,0,6,0.0
75,0,tcp,12,0,1,0.55
76,0,tcp,0,0,9,0.0
77,0,tcp,210,2790,27,0.02
78,0,tcp,321,5683,10,0.01
79,0,tcp,0,0,8,0.0
80,0,tcp,329,3982,31,0.04
81,0,tcp,0,0,7,0.0
82,0,tcp,0,0,19,0.0
83,0,icmp,8,0,44,1.0
84,0,tcp,320,379,9,0.01
85,0,tcp,0,0,7,0.01
86,0,tcp,225,3762,10,0.0
87,0,tcp,0,0,13,0.0
88,0,tcp,0,0,15,0.0
89,315,udp,146,105,2,0.78
90,0,tcp,247,1416,11,0.01
91,0,tcp,353,1483,9,0.0
92,0,udp,44,44,189,0.01
93,0,tcp,0,0,18,0.0
94,0,tcp,0,0,6,0.0
95,2,tcp,3065,331,2,0.0
96,0,udp,102,102,1,0.14
97,0,tcp,259,750,5,0.25
98,1082,udp,147,105,2,0.86
99,0,tcp,0,0,16,0.0
100,0,tcp,0,354,32,0.0
101,0,tcp,309,306,1,0.02
102,0,tcp,0,0,2,1.0
103,0,tcp,278,7227,3,0.01
104,0,udp,28,0,82,0.71
105,0,tcp,313,761,1,0.02
106,0,tcp,219,1212,15,0.0
107,0,tcp,245,9165,3,0.1
108,0,tcp,328,2243,21,0.05
109,0,tcp,0,0,1,0.04
110,0,tcp,251,301,7,0.0
111,0,tcp,2089,335,2,0.0
112,0,tcp,0,0,1,0.17
113,0,tcp,237,511,1,0.33
114,0,tcp,324,431,5,0.01
115,25950,tcp,1,0,2,1.0
116,0,tcp,0,0,17,0.0
117,0,udp,105,145,1,0.0
118,0,tcp,218,974,6,0.17
119,0,tcp,325,2649,7,0.01
120,0,tcp,0,0,20,0.0
121,0,tcp,0,0,19,0.0
122,0,tcp,0,0,8,0.0
123,240,tcp,328,275,10,0.0
124,0,tcp,0,0,6,0.0
125,0,tcp,9,138,1,0.01
126,0,udp,46,46,178,0.01
127,1,tcp,1079,334,1,0.01
128,0,udp,45,139,159,0.0
129,26,tcp,273,903,1,0.01
130,0,tcp,0,0,20,0.0
131,0,tcp,0,0,5,0.0
132,0,tcp,237,138,2,0.5
133,0,tcp,225,1357,1,0.2
134,0,tcp,0,0,7,0.0
135,0,tcp,0,0,20,0.0
136,0,udp,147,0,1,0.97
137,0,tcp,262,1011,4,0.02
138,0,icmp,1032,0,263,1.0
139,0,tcp,0,0,13,0.0
140,0,tcp,261,8412,9,0.0
141,0,tcp,0,0,8,0.0
142,0,tcp,0,0,2,0.0
143,0,tcp,294,1719,8,0.01
144,0,tcp,221,981,3,0.02
145,0,tcp,284,10352,2,0.09
146,0,tcp,0,0,1,1.0
147,0,tcp,309,16096,3,0.03
148,0,tcp,334,0,2,1.0
149,0,tcp,0,0,4,0.01
150,0,tcp,0,0,1,0.0
151,0,tcp,214,283,2,0.04
152,0,tcp,0,0,13,0.0
153,0,tcp,0,0,18,0.0
154,0,tcp,0,0,15,0.0
155,0,udp,46,78,277,0.0
156,0,tcp,748,0,1,0.83
157,0,tcp,0,0,19,0.0
158,0,icmp,8,0,46,1.0
159,0,tcp,0,0,3,0.0
160,0,tcp,329,8437,4,0.01
161,0,tcp,9,0,2,0.5
162,0,udp,46,128,302,0.0
163,0,tcp,1766,0,2,0.02
164,0,tcp,0,0,4,0.0
165,9015,tcp,1,0,2,1.0
166,7,tcp,8,135,1,0.01
167,0,tcp,266,529,6,0.01
168,0,tcp,245,0,2,0.32
169,0,tcp,295,465,12,0.01
170,0,tcp,0,0,12,0.0
171,0,tcp,228,6834,7,0.06
172,0,icmp,1032,0,511,0.83
173,0,tcp,0,0,15,0.0
174,0,tcp,0,0,19,0.0
175,0,tcp,0,0,3,0.0
176,0,tcp,0,0,3,0.01
177,0,tcp,0,0,1,0.0
178,0,udp,1,0,6,1.0
179,0,tcp,0,0,9,0.0
180,0,icmp,30,0,1,1.0
181,1,tcp,2078,333,2,0.01
182,0,tcp,19,0,1,0.02
183,0,tcp,661,329,1,0.01
184,0,udp,28,0,34,0.13
185,0,tcp,0,0,2,0.0
186,0,tcp,0,0,18,0.0
187,0,tcp,0,0,5,0.0
188,0,tcp,1075,364,2,0.0
189,0,tcp,223,656,21,0.01
190,15159,tcp,350,1185,2,0.0
191,0,tcp,233,2470,10,0.03
192,0,tcp,0,0,10,0.0
193,0,tcp,0,0,17,0.0
194,0,tcp,201,1938,34,0.02
195,0,tcp,271,4781,7,0.09
196,0,tcp,14416,0,1,0.19
197,0,tcp,227,11564,6,0.02
198,0,tcp,0,0,1,1.0
199,0,tcp,225,2445,5,0.0
200,0,tcp,176,426,6,0.0
201,0,tcp,0,0,14,0.0
202,0,tcp,227,762,17,0.0
203,0,tcp,855,575,1,0.0
204,0,tcp,944,330,1,0.0
205,0,tcp,954,326,1,0.04
206,0,tcp,0,0,18,0.0
207,0,tcp,166,34660,1,0.06
208,0,tcp,306,2698,5,0.0
209,0,tcp,0,0,19,0.0
210,0,tcp,0,0,1,0.0
211,0,icmp,1480,0,4,1.0
212,0,tcp,0,0,17,0.0
